№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
8056,"Общество с ограниченной ответственностью фирма ""Агрополис""",7717041638/ 1027739880035,"129366, г.Москва, ул. Ярославская, д.11, корп.2, комн.2","г.Москва, ул. Ярославская, д.11, корп.2",Кафе,ДТУ 236,14.04.2011,18.04.2011,14.04.2015,Действует
8057,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. Апрелевка, ул. Августовская, дом 6, магазин № 7.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8058,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 52, лит. А, пом. № 1, 2, 4, 5, магазин № 13.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8059,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7а, лит. А, пом. № 3-11, магазин № 6.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8060,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. Апрелевка, ул. Комсомольская, дом 5, лит. А-Б, магазин № 5.",-,МО 14921,14.04.2011,,13.04.2014,Действует
806,,,,,,,,,,
8061,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. Апрелевка, ул. Февральская, дом 46, пом. 1, магазин № 37.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8062,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, г. п. Калининец, с. Петровское, стр. 71 А, лит. А, 1 этаж, пом. № 1, по плану № 3-13, магазин № 10.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8063,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, пос. Первомайское, ул. Рабочая, стр. 31, магазин.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8064,"Потребительское общество ""Дубрава""",5030009218/ 1025003750650,"Московская область, Наро-Фоминский район, г. Апрелевка, ул. Апрелевская, дом 7","Московская область, Наро-Фоминский район, пос. Птичное, ул. Центральная, стр. 3А, магазин № 28.",-,МО 14921,14.04.2011,,13.04.2014,Действует
8065,"Автономная некоммерческая организация ""Эксперт полезного питания""",7710478605/ 1107799027423,"125009, г.Москва, Камергерский пер., д.3, стр.1","г.Москва, Камергерский пер., д.3, стр.1",Бар,ДТУ 163,15.04.2011,15.04.2011,15.04.2016,Действует
8066,"Общество с ограниченной ответственностью ""Бадбар""",7734647838/ 5107746000203,"123298, г.Москва, ул. Народного Ополчения, д.48, корп.1","г.Москва, ул. Народного Ополчения, д.48, корп.1",Кафе,ДТУ 195,15.04.2011,15.04.2011,15.04.2013,Действует
8067,"Общество с ограниченной ответственностью ""ВЕНЕРА""",7707682537/ 5087746541735,"115054, г.Москва, ул. Валовая, д.14, стр.8","г.Москва, Можайское шоссе , д.11",Ресторан,ДПРУ 10179,15.04.2011,06.07.2012,11.08.2015,Действует
8068,"Общество с ограниченной ответственностью ""ДНК Медиа""",7706742085/ 1107746646182,"119180, г.Москва, ул. Б. Полянка, д.35, стр.1","г.Москва, ул. Крымский Вал, д.10",Кафе,ДТУ 192,15.04.2011,15.04.2011,15.04.2016,Действует
8069,"Общество с ограниченной ответственностью ""ЖАКЕТ""",7717691570/ 1117746046032,"129594, г.Москва, ул. 4-я Марьиной рощи, д.4, кв.143","г.Москва, ул. Грузинский Вал, д.23-25, стр.1",Кафе,ДТУ 189,15.04.2011,15.04.2011,15.04.2014,Действует
8070,"Общество с ограниченной ответственностью ""И-Классик""",7734650037/ 1117746029708,"123154, г.Москва, ул. Народного Ополчения, д.23, корп.1","г.Москва, ул. Народного Ополчения, д.23, корп.1","Ресторан ""Ченто Перченто""",ДТУ 212,15.04.2011,18.04.2011,15.04.2014,Действует
807,,,,,,,,,,
8071,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Б. Каменщики, д.21/8",Магазин,ДТУ 190,15.04.2011,18.04.2011,15.04.2016,Действует
8072,"Общество с ограниченной ответственностью ""Интер Трейд""",7721544240/ 1057749315029,"109377, г. Москва, ул. 1-я Новокузьминская, д. 3","г.Москва, ул. Святоозерская, д.18",Магазин,ДТУ 59,15.04.2011,15.04.2011,15.04.2016,Действует
8073,"Общество с ограниченной ответственностью ""ИНТЭК""",7726546321/ 5067746077592,"127474, г.Москва, ул. Дубнинская, д.53, корп.2, пом. 5","г.Москва, ул. Баграмяна Маршала, д.2",Магазин,ДТУ 239,15.04.2011,19.04.2011,15.04.2013,Действует
8074,"Общество с ограниченной ответственностью ""Исток-4""",7710356332/ 1027739832691,"103012, г. Москва, ул.Никольская, д.5/1, стр.3-4, пом.3","г.Москва, ул. Никольская, д.5/1, стр.3",Ресторан,ДТУ 214,15.04.2011,20.04.2011,15.04.2014,Действует
8075,"Общество с ограниченной ответственностью ""МЕЗОЛИТ - С""",7717111275/ 1037739185362,"129075, г.Москва, ул. Аргуновская, д.10, корп.2","г.Москва, ул. Аргуновская, д.10, корп.2",Магазин,ДТУ 167,15.04.2011,15.04.2011,15.04.2015,Действует
8076,"Общество с ограниченной ответственностью ""МультиГранд""",7727729871/ 1107746812084,"117420, г.Москва, ул. Наметкина, д.13, корп.1","г.Москва, ул. Селезневская, д.34, корп.1",Кафе,ДТУ 177,15.04.2011,15.04.2011,15.04.2014,Действует
8077,"Общество с ограниченной ответственностью ""О' СЕР""",7714019803/ 1027700432616,"125083, г. Москва, ул. Верхняя Масловка, д.28","г. Москва, 4-й Вятский пер., д.18, корп.2",Магазин,ДТУ 188,15.04.2011,15.04.2011,15.04.2014,Действует
