тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ЗАО,РОСТЕК-Забайкальск,"Читинская область, Забайкальский район, п. Забайкальск, ул. Нагорная, 7",,7505003447,750501001,кафетерий №1,Забайкальский район,пгт. Забайкальск,МАПП,954,21-Apr-08,21-Apr-08,20-Apr-13,75МЕ,001139,ВВ,000114,,
о выдаче,ООО,Трубай,"Читинская область, Читинский район, п. Лесной городок, ул. Центральная, 38",,7524012567,752401001,отдел в магазине,Читинский район,п. Лесной городок,"ул. Центральная, 38",952,21-Apr-08,21-Apr-08,20-Apr-13,75МЕ,001141,ВВ,000116,,
о переоформлении,ООО,Статус,"Забайкальский край, г. Петровск-Забайкалький, ул. Ленина, д. 21, кв. 19,20",1077538001518,7531004817,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Ленина, 21-19,20",0003,24-Apr-08,24-Apr-08,23-Apr-13,75МЕ,002812,,,,
о выдаче,ООО,Иванова,"Читинская область, г. Чита, ул. Силикатная, 10 а",,7536063527,753601001,павильон,г. Чита,г. Чита,"Ингодинский район, ул. Силикатная, 10 а",958,25-Apr-08,25-Apr-08,24-Apr-13,75МЕ,001142,ВВ,000123,,
о переоформлении,ООО,Восток,"Читинская область, Улётовский район, с. Улеты, ул. Лазо, д. 72",,7522003743,752201001," отдел в торговом центре ""Плаза""",г. Чита,г. Чита,"ул. Анохина, 93, пом. 1/1",956,25-Apr-08,25-Apr-08,24-Apr-13,,,,,,
о выдаче,ООО,Рубин,"Читинская область, Борзинский район, г. Борзя,  ул. Карла Маркса, д. 96, пом. 1",,7529011197,752901001,"магазин ""Смак""",Борзинский район,г. Борзя,"ул. Карла Маркса, 96, пом. 1",957,25-Apr-08,25-Apr-08,24-Apr-13,75МЕ,001134,ВВ,000121,,
о переоформлении,ООО,Визит,"Забайкальский край, п.г.т. Агинское, ул. Ленина, д. 51",1088080000029,8001014875,800101001,"отдел в магазине ""Заходи""",Агинский район,пгт. Агинское,"ул. Ленина, 50",56,25-Apr-08,25-Apr-08,24-Apr-13,,,,,,
о переоформлении,ООО,Изумруд,"Читинская область, г. Петровск-Забайкальский, в/ч 04156, ДОС 2, кв. 30",,7531004951,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Ленина, 22-1",959,29-Apr-08,29-Apr-08,28-Apr-13,75МЕ,001143,ВВ,000126,,
о выдаче,ООО,Джемма,"Читинская область, г. Чита,  ул. Красного Восстания, д. 15, пом. 2",,7536086115,753601001,отдел в магазине,г. Чита,г. Чита,"Центральный район, ул. Красного Восстания, 15, помещение 12",960,29-Apr-08,29-Apr-08,28-Apr-13,75МЕ,001144,ВВ,001144,,
о выдаче,КФХ,Чем-Чен,"Читинская область, Читинский район, с. Отто- Кондуй, ул. Трактовая, дом. 2,3",,7524005658,752401001,магазин,г. Чита,г. Чита,"Черновский район, п. Ивановка, ул. Староивановская, 7",961,30-Apr-08,30-Apr-08,29-Apr-13,75МЕ,001146,ВВ,000127,,
о выдаче,ООО,Хлеб,"Читинская область, Читинский район, с. Домна, ул. Геологическая, 1Б",,7524009959,752401001,отдел в магазине,Читинский район,с. Домна,"ул. Геологическая, 1 д",963,06-May-08,06-May-08,05-May-13,75МЕ,001149,ВВ,000129,,
о выдаче,ООО,Лунный Свет,"Забайкальский край, Забайкальский район, пгт. Забайкальск, ул. Первомайская, 21 А",,7505005451,750501001,павильон,Забайкальский район,пгт. Забайкальск,"ул. Первомайская, 21 А",962,06-May-08,06-May-08,05-May-13,75МЕ,001148,ВВ,000130,,
о переоформлении,ООО,Луч,"Читинская область, Газимуро-Заводский район, с. Газимурский Завод, ул. Журавлева, 7",,7504002151,750401001,отдел в магазине,Газимуро-Заводский район,с. Газимурский завод,"ул. Журавлева, 7",966,16-May-08,16-May-08,15-May-13,75МЕ,001167,ВВ,000136,,
о выдаче,ООО,Москва,"Забайкальский край, Забайкальский район, пгт. Забайкальск, ул. Красноармейская, 28а",,7505004970,750501001,магазин,Забайкальский район,пгт. Забайкальск,"ул. Красноармейская, 28 а",967,16-May-08,16-May-08,15-May-13,75МЕ,001168,ВВ,000134,,
о выдаче,ООО,Парус,"Читинская область, г. Чита, ул. Костюшко-Григоровича, 7, офис 206",,7536072754,753601001,"магазин ""Смак""",Нерчинско-Заводский район,с. Михайловка,"ул. Шоссейная, 3",968,16-May-08,16-May-08,15-May-13,75МЕ,001169,ВВ,000132,,
о переоформлении,ООО,Мастерстройсервис,"Читинская область, г. Чита, ул. Лазо, 40",,7534018448,753401001,"бар в кафе ""Ани""",г. Чита,г. Чита,"Ингодинский район, ул. Лазо, 40",969,23-May-08,23-May-08,22-May-13,,,,,,
о переоформлении,ООО,СТИМ,"Забайкальский край, г. Краснокаменск, мкр. 1, дом 103, магазин ""Продукты""",1087530000095,7530012050,753001001,"отдел в магазине ""Ивушка""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"мкр. 5, дом 511",0786,06-Jun-08,06-Jun-08,05-Jun-13,75МЕ,002785,,,,
о выдаче,ООО,Александровский сад,"Читинская область, г. Чита, ул. Костюшко-Григоровича, 5",,7536092285,753601001,"организация общественного питания (ресторан ""Александровский сад"")",г. Чита,г. Чита,"Центральный район, ул. Костюшко-Григоровича, 5",974,06-Jun-08,06-Jun-08,05-Jun-13,75МЕ,001157,ВВ,000144,,
о выдаче,ООО,Вишня,"Читинская область, г. Петровск-Забайкальский, ул. Маяковского, 73, кв. 2",,7531005144,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Нагаева, 1",971,06-Jun-08,06-Jun-08,05-Jun-13,75МЕ,001155,ВВ,000142,,
о выдаче,ООО,Хуторок,"Читинская область, г. Чита, ул. Костюшко-Григоровича, 5",,7536092278,753601001,"организация общественного питания (кафе ""Хуторок"")",г. Чита,г. Чита,"Центральный район, ул. Костюшко-Григоровича, 5",973,06-Jun-08,06-Jun-08,05-Jun-13,75МЕ,001156,ВВ,000145,,
о выдаче,ООО,Фуд-корт,"Читинская область, г. Чита, ул. Костюшко-Григоровича, 5",,7536092373,753601001,организация общественного питания (кафе),г. Чита,г. Чита,"Центральный район, ул. Костюшко-Григоровича, 5, 1-й этаж",972,06-Jun-08,06-Jun-08,05-Jun-13,75МЕ,001158,ВВ,000147,,
о переоформлении,ООО,СПАМ,"Забайкальский край, г. Чита,  ул. Новобульварная, 90, кв. 28",1077536013070,7536086838,753601001,отдел в магазине,г. Чита,г. Чита,"Железнодорожный район, переулок Железобетонный, 4-а, помещение 78 (не осуществляет деятельность)",153,18-Jun-08,18-Jun-08,17-Jun-13,,,,,,
о выдаче,ЗАО,Забайкалагробизнес,"г. Чита, ул. Логовая, 94",,7534014404,753401001,магазин,г. Чита,г. Чита,"проспект Фадеева, 41",978,18-Jun-08,18-Jun-08,17-Jun-13,75МЕ,001172,ВВ,000160,,
о переоформлении,ООО,Забайкальская зерновая компания плюс,"г. Чита, ул. Николая Островского, 15а, офис 40",1047550013752,7536055540,753601001,"магазин ""Даурский колос""",Приаргунский район,с. Урулюнгуй,"ул. Аксенова, д. 24 (действует с 06.11.2009)",184,18-Jun-08,18-Jun-08,17-Jun-13,,,,,,
