"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
250,"ООО Витас, ИНН - 4211003921, ОГРН - 1024201260930","652723, г. Киселевск, ул. Фишера, дом.8","г. Киселевск, ул. Студенческая д.12 (магазин); г. Киселевск, ул. Ленина д.40 (магазин); г. Киселевск, ул. Весенняя д.8, пом.1 (магазин); г. Киселевск, ул. 1 Мая д.9/1 пом.3 (магазин); г. Киселевск, ул. Гагарина д.20 пом.4 (магазин)","лицензия № ОЛ-2568-РПА, Д № 486302, 29.06.2006",c 05.01.2004 по 05.01.2007 продлена с 07.01.2012 по 06.01.2013,
251,"ООО Влада, ИНН - 4223042682, ОГРН - 1064223021224","653000, г. Прокопьевск, пр-кт. Шахтеров, дом.12А","г. Прокопьевск, пр-кт. Шахтеров д.12А (магазин)","лицензия № ОЛ-6090-РПА, Д № 489545, 02.08.2006",c 02.08.2006 по 02.08.2011 продлена с 03.08.2011 по 02.08.2012,
252,"ООО ВоЛя, ИНН - 4223712785, ОГРН - 1104223001101","653000, г. Прокопьевск, пр-кт. Ленина, дом.5","г. Прокопьевск, пр-кт. Ленина д.5 (магазин)","лицензия № ОЛ-11892-РПА, 42 МЕ № 003141, 05.05.2012",c 05.05.2012 по 04.05.2014,
253,"ООО Водолей, ИНН - 4246006539, ОГРН - 1064246012489","652491, г. Анжеро-Судженск, пгт. Рудничный, ул. Советская, дом.6","г. Анжеро-Судженск, пгт. Рудничный, ул. Советская д.6 (магазин)","лицензия № ОЛ-5431-РПА, В № 935981, 31.03.2006",c 31.03.2006 по 31.03.2011 продлена с 01.04.2012 по 31.03.2014,
254,"ООО Возрождение, ИНН - 4214003486, ОГРН - 1024201390377","652870, г. Междуреченск, пр-кт. Коммунистический, дом.21 кв.16","г. Междуреченск, пр-кт. Коммунистический д.21 (магазин); г. Междуреченск, ул. Лазо д.20 (магазин)","лицензия № ОЛ-4934-РПА, В № 935597, 29.11.2005",c 29.11.2005 по 29.11.2008 продлена с 30.11.2011 по 29.11.2013,
255,"ООО Волна, ИНН - 4214024990, ОГРН - 1064214009804","652870, г. Междуреченск, ул. Ермака, дом.12 кв.19","г. Междуреченск, ул. Весенняя д.3 (бар); г. Междуреченск, ул. Весенняя д.3 (магазин); г. Междуреченск, ул. Дзержинского д.3 (павильон)","лицензия № ОЛ-5724-РПА, Д № 489180, 20.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
256,"ООО Волна, ИНН - 4246006899, ОГРН - 1064246018869","652470, г. Анжеро-Судженск, ул. Чапаева, дом.143","г. Анжеро-Судженск, ул. Чапаева д.143 (магазин)","лицензия № ОЛ-5672-РПА, Д № 489143, 13.06.2006",c 13.06.2006 по 13.06.2011 продлена с 14.06.2011 по 13.06.2013,
257,"ООО Восток, ИНН - 4218001391, ОГРН - 1084218001394","654055, г. Новокузнецк, ул. Селекционная, дом.11, кор.9","г. Новокузнецк, ул. Лазо д.32 (кафе)","лицензия № ОЛ-10889-РПА, 42 МЕ № 002529, 06.07.2011",c 06.07.2011 по 05.07.2012,
258,"ООО Восток, ИНН - 4246005528, ОГРН - 1054246022060","652400, г. Тайга, пр. Кирова, дом.5А","г. Тайга, ул. Мира д.2/1 (магазин); г. Тайга, ул. Строительная д.35/1 (магазин); г. Тайга, ул. Щетинкина д.60/1 (магазин)","лицензия № ОЛ-11394-РПА, 42МЕ № 002851, 09.12.2011",c 09.12.2011 по 08.12.2012,
259,"ООО Восток, ИНН - 4246006987, ОГРН - 1064246018946","652401, г. Тайга, ул. Щетинкина, дом.109","г. Тайга, ул. Ключевая д.103 (магазин)","лицензия № ОЛ-5993-РПА, Д № 489469, 18.07.2006",c 18.07.2006 по 18.07.2011 продлена с 19.07.2011 по 18.07.2012,
260,"ООО Восход, ИНН - 4202002199, ОГРН - 1024200543850","652614, г. Белово, пгт. Грамотеино, ул. Революции, дом.16","г. Белово, пгт. Грамотеино, ул. Революции д.16 (магазин); г. Белово, пгт. Грамотеино, ул. Волочаевская д.22А (магазин)","лицензия № ОЛ-1336-РПА, Д № 092674, 17.12.2002",c 17.12.2002 по 17.12.2005 продлена с 19.12.2011 по 18.12.2012,
261,"ООО Восьмая проходная, ИНН - 4217107300, ОГРН - 1084217006730","654005, г. Новокузнецк, ул. Покрышкина, дом.13","г. Новокузнецк, ул. Орджоникидзе д.35 (ресторан)","лицензия № ОЛ-8275-РПА, Д № 488804, 26.12.2008",c 26.12.2008 по 25.12.2013,
262,"ООО ГАЙСА, ИНН - 4223041689, ОГРН - 1064223014338","653039, г. Прокопьевск, ул. Жолтовского, дом.8","г. Прокопьевск, ул. Жолтовского д.8 (магазин)","лицензия № ОЛ-5939-РПА, Д № 489423, 12.07.2006",c 12.07.2006 по 12.07.2011 продлена с 13.07.2011 по 12.07.2012,
263,"ООО ГАЛАКТИКА, ИНН - 4223053300, ОГРН - 1094223001212","653000, г. Прокопьевск, пр-кт. Гагарина, дом.25А","г. Прокопьевск, пр-кт. Гагарина д.25А (бар в кафе)","лицензия № ОЛ-8895-РПА, 42МЕ № 001290, 21.09.2009",c 21.09.2009 по 20.09.2014,
264,"ООО ГАЛС, ИНН - 2263010193, ОГРН - 1024201759361","654079, г. Новокузнецк, ул. Мичурина, дом.19-75","г. Новокузнецк, ул. Кирова д.53 (буфет); г. Новокузнецк, ул. Кирова д.53 (кафе)","лицензия № ОЛ-1491-РПА, Д № 092420, 25.12.2002",c 26.12.2002 по 26.12.2005 продлена с 28.12.2011 по 27.12.2012,
265,"ООО ГАРМОНИЯ, ИНН - 4214023122, ОГРН - 1054214017186","652840, г. Мыски, ул. Первомайская, дом.28-8","г. Мыски, ул. Таежная д.29А (магазин); г. Мыски, ул. Болотная д.44А (магазин)","лицензия № ОЛ-5153-РПА, В № 935955, 20.03.2006",c 27.12.2005 по 27.12.2008 продлена с 28.12.2011 по 27.12.2012,
266,"ООО ГЕРМЕС, ИНН - 4205104270, ОГРН - 1064205090619","650070, г. Кемерово, ул. Свободы, дом.19 кв.342","Крапивинский р-н, д. Шевели, ул. Московская д.3Б, стр.2 (магазин)","лицензия № ОЛ-5634-РПА, Д № 489123, 08.06.2006",c  по  продлена с 11.06.2012 по 10.06.2013,
267,"ООО ГЕРМЕС, ИНН - 4222010624, ОГРН - 1064222004208","652809, г. Калтан, ул. Дзержинского, дом.10","г. Калтан, ул. Дзержинского д.10 (магазин)","лицензия № ОЛ-6533-РПА, Д № 489811, 13.12.2006",c 13.12.2006 по 13.12.2011 продлена с 14.12.2011 по 13.12.2012,
268,"ООО ГИАСТ, ИНН - 4214024197, ОГРН - 1064214000476","652870, г. Междуреченск, ул. Вокзальная, дом.16","г. Междуреченск, ул. Вокзальная д.16 (магазин)","лицензия № ОЛ-11697-РПА, 42 МЕ № 003026, 28.02.2012",c 28.02.2012 по 27.02.2014,
269,"ООО ГОМАРП, ИНН - 4218005533, ОГРН - 1024201673980","654210, Новокузнецкий р-н, с. Ильинка, ул. Ковригина, дом.27 кв.2","г. Новокузнецк, ул. 40 лет ВЛКСМ д.33А (магазин); г. Новокузнецк, ул. Горьковская д.27Б (магазин)","лицензия № ОЛ-4885-РПА, В № 935564, 17.11.2005",c 17.11.2005 по 17.11.2008 продлена с 18.11.2008 по 17.11.2013,
270,"ООО ГОРПО, ИНН - 4212009450, ОГРН - 1024201305226","652511, г. Ленинск-Кузнецкий, ул. 7 Ноября, дом.17","г. Ленинск-Кузнецкий, ул. 7 Ноября д.17А (магазин)","лицензия № ОЛ-11217-РПА, 42МЕ № 002744, 19.10.2011",c 19.10.2011 по 18.10.2013,
271,"ООО ГРААЛЬ-НК, ИНН - 4217134656, ОГРН - 1114217004637","654080, г. Новокузнецк, ул. Свердлова, дом.5","г. Новокузнецк, ул. Свердлова д.5 (ресторан)","лицензия № ОЛ-11188-РПА, 42 МЕ № 002723, 30.09.2011",c 30.09.2011 по 29.09.2012,
272,"ООО ГРАНД ПЛЮС, ИНН - 4211018124, ОГРН - 1054211029058","652716, г. Киселевск, пер. Цветочный, дом.7","г. Киселевск, ул. Мира д.16 (магазин); г. Киселевск, пер. Транспортный д.2 (магазин); г. Киселевск, пер. Цветочный д.7 (магазин); г. Киселевск, ул. Лутугина д.91 В (магазин); г. Киселевск, ул. Геологическая д.14А (павильон)","лицензия № ОЛ-5710-РПА, Д № 489194, 19.06.2006",c 19.06.2006 по 19.06.2011 продлена с 20.06.2011 по 19.06.2016,
273,"ООО ГРАНД+, ИНН - 4202036737, ОГРН - 1094202001079","652600, г. Белово, ул. Ватутина, дом.2А","г. Белово, ул. Ватутина д.2А (магазин)","лицензия № ОЛ-8768-РПА, 42 МЕ № 001214, 25.06.2009",c 25.06.2009 по 24.06.2011 продлена с 25.06.2011 по 24.06.2014,
274,"ООО ГРАНД, ИНН - 4217090102, ОГРН - 1074217001143","654000, г. Новокузнецк, ул. Орджоникидзе, дом.13","г. Новокузнецк, ул. Смирнова д.8 (магазин)","лицензия № ОЛ-11910-РПА, 42 МЕ № 003150, 16.05.2012",c 16.05.2012 по 15.05.2013,
275,"ООО ГРУНТ, ИНН - 4217077239, ОГРН - 1054217103478","654101, г. Новокузнецк, ул. Дагестанская, дом.26","г. Новокузнецк, ул. Дагестанская д.26 (магазин)","лицензия № ОЛ-12038-РПА, 42 МЕ № 003224, 18.06.2012",c 18.06.2012 по 17.06.2013,
276,"ООО ГУБЕРНСКИЙ, ИНН - 4211018928, ОГРН - 1064211006100","652700, г. Киселевск, ул. Промышленная, дом.3","г. Киселевск, ул. Промышленная д.3 (магазин)","лицензия № ОЛ-5822-РПА, Д № 489263, 28.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
277,"ООО Галактика, ИНН - 4204003381, ОГРН - 1024200661572","652780, г. Гурьевск, ул. Кирова, дом.48","г. Гурьевск, ул. Ленина д.102 (магазин)","лицензия № ОЛ-5665-РПА, Д № 489134, 09.06.2006",c 09.06.2006 по 09.06.2011 продлена с 10.06.2011 по 09.06.2016,
278,"ООО Галактика, ИНН - 4212010946, ОГРН - 1064212007276","652449, Крапивинский р-н, пгт. Зеленогорский, ул. Центральная, дом.36","Крапивинский р-н, пгт. Зеленогорский,  д.36 (магазин в ТЦ ""Рассвет""); Крапивинский р-н, пгт. Зеленогорский, ул. Центральная д.4А оф.1 (магазин)","лицензия № ОЛ-5550-РПА, Д № 488482, 17.09.2008",c 17.05.2006 по 17.05.2011 продлена с 18.05.2011 по 17.05.2013,
279,"ООО Галс, ИНН - 4243005086, ОГРН - 1054243007280","652210, Тисульский р-н, пгт. Тисуль, ул. Калинина, дом.67","Тисульский р-н, пгт. Тисуль, ул. Пушкина д.12 А (магазин); Тисульский р-н, пгт. Тисуль, ул. Ленина д.2 В (магазин); Тисульский р-н, рп. Тисуль, ул. Комсомольская д.1А (магазин); Тисульский р-н, пгт. Тисуль, ул. Калинина д.18Б (магазин); Тисульский р-н, рп. Тисуль, ул. Садовая д.23 (магазин); Тисульский р-н, пгт. Тисуль, ул. Октябрьская д.28 (магазин); Тисульский р-н, пгт. Тисуль, ул. Ленина д.2Г (магазин); Тисульский р-н, рп. Тисуль, ул. Кирова д.22А (магазин); Тисульский р-н, пгт. Тисуль, ул. Октябрьская д.38А (магазин); Тисульский р-н, д. Листвянка, ул. Космическая д.31Б (магазин); Тисульский р-н, с. Куликовка, ул. Советская д.58 (магазин); Тисульский р-н, рп. Тисуль, ул. Советская д.55А (магазин); Тисульский р-н, рп. Тисуль, ул. Ленина д.70 (магазин); Тисульский р-н, пгт. Тисуль, ул. Антонова д.7А (магазин); Тисульский р-н, с. Усть-Колба, ул. Советская д.80Б (магазин)","лицензия № ОЛ-5103-РПА, В № 935716, 21.12.2005",c 21.12.2005 по 21.12.2008 продлена с 22.12.2008 по 21.12.2013,
