ИНН из файла,Тип найденного клиента из КС,Название из КС,ИНН из КС,КПП из КС,СЦ по продукту Контур-Экстерн,СЦ по РАР,Статус,Регион СЦ,Горе,,,,
5005000194,Есть в КС,"ОАО ""Учебно-оздоровительный центр ""Конобеево""""",5005000194,500301001,0418 ООО «Интернет сервис»,нет,нет,50,обработан,5005000194500301001,,,
5005002890,Есть в КС,ООО «ТПП «Воскресение»,5005002890,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005002890500501001,,,
5005003565,Есть в КС,ООО «Меркурий-1»,5005003565,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005003565500501001,,,
5005004544,Есть в КС,"ООО ""ВЕРА""",5005004544,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,обработан,5005004544500501001,,,
5005004745,Есть в КС,"ООО ""Альфа-торг""",5005004745,500501001,0599 ООО “Бизнес ТелеСистемы”,нет,нет,77,обработан,5005004745500501001,,,
5005004992,Есть в КС,"Производственный кооператив ""ВМИСТ""",5005004992,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005004992500501001,,,
5005006380,Есть в КС,"ООО ""магазин ""Москворечье",5005006380,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005006380500501001,,,
5005013080,Есть в КС,ПО Воскресенское РайПО,5005013080,500501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5005013080500501001,,,
5005017631,Есть в КС,ООО «Строительная фирма «Ретро»,5005017631,500501001,0418 ООО «Интернет сервис»,0221 ООО «КМЦ Баланс-Информ»,оплачен,50,обработан,5005017631500501001,,,
5005020391,Есть в КС,"ООО  ""Магазин""Лавка",5005020391,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005020391500501001,,,
5005021469,Есть в КС,"ООО ""Брат""",5005021469,500501001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""",нет,нет,77,обработан,5005021469500501001,,,
5005028023,Есть в КС,ООО «Фирма «Олеся»,5005028023,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005028023500501001,,,
5005029348,Есть в КС,"Общество с ограниченной ответственностью  ""МАРТА и Ко""",5005029348,500501001,0418 ООО «Интернет сервис»,0221 ООО «КМЦ Баланс-Информ»,выставлен,50,не обработан,5005029348500501001,,,
5005029676,Есть в КС,"ООО ""Сайдана""",5005029676,500501001,0418 ООО «Интернет сервис»,нет,нет,50,обработан,5005029676500501001,,,
5005031700,Есть в КС,"ООО ""Ингруп""",5005031700,500501001,0345 ООО «НалогКонсалтинг»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005031700500501001,,,
5005032566,Есть в КС,"ООО ""Константа-М""",5005032566,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005032566500501001,,,
5005034563,Есть в КС,ООО «ТД «Радуга-7»,5005034563,500501001,0418 ООО «Интернет сервис»,нет,нет,50,обработан,5005034563500501001,,,
5005035140,Есть в КС,"ООО ""Лопатинский""",5005035140,500501001,0418 ООО «Интернет сервис»,нет,нет,50,обработан,5005035140500501001,,,
5005036465,Есть в КС,"ООО ""Небо""",5005036465,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005036465500501001,,,
5005042557,Есть в КС,"Общество с ограниченной ответственностью ""Артелс"" ",5005042557,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005042557500501001,,,
5005042589,Есть в КС,"ООО ""Работница""",5005042589,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,обработан,5005042589500501001,,,
5005043053,Есть в КС,"ООО ""ПРОДЛАЙН""",5005043053,500501001,0418 ООО «Интернет сервис»,нет,нет,50,не обработан,5005043053500501001,,,
5005043078,Есть в КС,"ООО ""Александра""",5005043078,500501001,"0354 ЗАО ""ОВИОНТ ИНФОРМ""",нет,нет,77,обработан,5005043078500501001,,,
5005043367,Есть в КС,"ООО ""Э Д Е М""",5005043367,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005043367500501001,,,
5005043455,Есть в КС,"ООО ""Татьяна""",5005043455,500501001,0345 ООО «НалогКонсалтинг»,0418 ООО «Интернет сервис»,оплачен,50,обработан,5005043455500501001,,,
5005043470,Есть в КС,"ООО ""Акцент""",5005043470,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,обработан,5005043470500501001,,,
5005046167,Есть в КС,"ООО ""Павир""",5005046167,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,не обработан,5005046167500501001,,,
5005046921,Есть в КС,"ООО ""ВЭЛА""",5005046921,500501001,0345 ООО «НалогКонсалтинг»,0221 ООО «КМЦ Баланс-Информ»,оплачен,50,не обработан,5005046921500501001,,,
5005047361,Есть в КС,"ООО ""Центр""",5005047361,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,не обработан,5005047361500501001,,,
5005049640,Есть в КС,ООО “ЕВРОФУД”,5005049640,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005049640500501001,,,
5005050847,Есть в КС,"ООО ""ВТД ""Купеческий",5005050847,500501001,0345 ООО «НалогКонсалтинг»,нет,нет,50,не обработан,5005050847500501001,,,
5005053894,Есть в КС,"Общество с ограниченной ответственностью ""НИКА В""",5005053894,500501001,0221 ООО «КМЦ Баланс-Информ»,0221 ООО «КМЦ Баланс-Информ»,оплачен,50,не обработан,5005053894500501001,,,
5005054538,Есть в КС,"ООО ""Ласточка""",5005054538,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005054538500501001,,,
5005054552,Есть в КС,"Общество с ограниченной ответственностью ""Торговая Компания ""Белоозерская",5005054552,500501001,0418 ООО «Интернет сервис»,0418 ООО «Интернет сервис»,оплачен,50,не обработан,5005054552500501001,,,
5006000430,Есть в КС,"Общество с ограниченной ответственность ""Голиос""",5006000430,500601001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5006000430500601001,,,
5006008213,Есть в КС,ООО Традиции Качества  ,5006008213,772801001,0448 ООО АЛЬФА-СЕРВИС,нет,нет,77,не обработан,5006008213772801001,,,
5006011368,Есть в КС,"ООО ""Стандарт""",5006011368,500601001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,выставлен,77,обработан,5006011368500601001,,,
5006013929,Есть в КС,"ООО ""Чудо В""",5006013929,500601001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5006013929500601001,,,
