№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
176,"Общество с ограниченной ответственностью ""Волковский""",1.0576E+12,7610066693,"Россия, Ярославская область, Рыбинский район, Огарковский СО, д.Волково","1. Ярославская область, Рыбинский район, д. Волково",с 30.12.2008 г. по 30.12.2013 г.,"76202708/Л0463,",,Предыдущее переоформление 03.04.2012 г.,,,
,"(ООО ""Волковский"")",,,,магазин,,"29.12.2008 г., ",,(4)- код 3; (5)- код 2,,,
,,,,,"2. Ярославская область, Рыбинский район, д. Назарово, ул. Центральная, д. 1а",,,,,,,
,,,,,магазин (отдел),,,,,,,
177,"Общество с ограниченной ответственностью ""Волна""",1.06761E+12,7609019064,"Россия, Ярославская область, г.Ростов, ул.Пролетарская, д.4","1. Ярославская область, г.Ростов, ул.Пролетарская, д.4",с 22.01.2008 г. по 22.01.2013 г.,"76202708/Л0010,",,,,,
,"(ООО ""Волна"")",,,,павильон,,"22.01.2008 г., ",,,,,
178,"Общество с ограниченной ответственностью ""Волна""",1.0576E+12,7610065227,"Россия,152916, Ярославская область, г.Рыбинск, пр.50 лет Октября,д.1","1. Ярославская область, г. Рыбинск, пр.50 лет Октября, д.1",с 12.11.2008 г. по 12.11.2013 г.,"76202708/Л0320,",,,,,
,"(ООО ""Волна"")",,,,кафе,,"12.11.2008 г., ",,,,,
179,"Общество с ограниченной ответственностью ""ВОСКРЕСЕНЬЕ""",1.08761E+12,7606068899,"Россия,150054, г.Ярославль, ул.Чехова,д.20а,кв.28","1. г.Ярославль, ул.Городской вал, у дома 91 по ул. Свободы",с 22.08.2008 г. по 22.08.2013 г.,"76202708/Л0227,",,,,,
,"(ООО ""Воскресенье"")",,,,закусочная,,"22.08.2008 г., ",,,,,
180,"Общество с ограниченной ответственностью ""Восток плюс""",1.06761E+12,7606057738,"Россия, Ярославская область, г.Ярославль, ул.Чкалова, д.2, офис 1123.","1. г.Ярославль, ул. Республиканская, д.44/21",с 01.07.2011 г. по 01.07.2014 г.,"76202711/Л0325,",,,,,
,"(ООО ""Восток плюс"")",,,,магазин,,"01.07.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Б. Октябрьская, у д.102",,,,,,,
,,,,,магазин,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"3. г.Ярославль, ул.Советская, у д.77",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"4. г.Ярославль, ул.Чкалова, у д.74",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"5. г.Ярославль, ул. Республиканская, у д.3",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"6. г.Ярославль, ул. Б. Октябрьская, у д.118",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"7. г.Ярославль, ул.Труфанова, у д.29",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"8. г.Ярославль, пр.Ленина, у д. 13/67",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"9. г.Ярославль, пр.Октября, у д.65",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
181,"Общество с ограниченной ответственностью ""Восток""",1.1076E+12,7604176722,"г.Ярославль, проспект Толбухина, д. 6, корп. 2, кв. 159.","1. г.Ярославль, ул. Комарова, д. 4",с 31.08.2010 г. по 31.08.2015 г.,"76202710/Л0242,",,Предыдущее переоформление 02.06.2011 г.,,,
,"(ООО ""Восток"")",,,,магазин,,"31.08.2010 г., ",,"(4) - код 2,3",,,
,,,,,"2. г.Ярославль, ул.Голубятная, д.19",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. г.Ярославль, ул.Ранняя, у д.12",,,,,,,
,,,,,магазин,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
182,"Общество с ограниченной ответственностью ""Восточный Дом""",1.1076E+12,7604192717,"г.Ярославль, ул. Суркова, д. 18. ","1. г.Ярославль, ул.Суркова, д.18",с 03.05.2011 г. по 03.05.2014 г.,"76202711/Л0167,",,,,,
,"(ООО ""Восточный Дом"")",,,,кафе,,"03.05.2011 г., ",,,,,
183,"Общество с ограниченной ответственностью ""Восход""",1.07761E+12,7609020863,"Россия, Ярославская область, г.Ростов","1. Ярославская область, г.Ростов, пос. Восход, д.28а",с 26.12.2007 г. по 26.12.2012 г.,"76202707/Л0186,",,,,,
,"(ООО ""Восход"")",,,,магазин,,"26.12.2007 г., ",,,,,
184,"Общество с ограниченной ответственностью ""Восход""",1.0676E+12,7602052506,"г.Ярославль, ул.Труфанова, д.6, кв.38","1. г.Ярославль, ул. Урицкого, у дома № 69, корп. 1",с 05.04.2011 г. по 05.04.2014 г.,"76202711/Л0106,",,,,,
,"(ООО ""Восход"")",,,,мини-магазин,,"05.04.2011 г., ",,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"2. г.Ярославль, ул.Туманова, напротив дома № 20",,,,,,,
,,,,,магазин,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"3. г.Ярославль, остановка ""ул. Е.Колесовой""",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
185,"Общество с ограниченной ответственностью ""Вояж""",1.1176E+12,7604197120,"Российская Федерация, г.Ярославль, ул.Кирова, д. 11. ","1. г.Ярославль, ул.Кирова, д.11",с 25.09.2012 г. по 25.09.2013 г.,"76202712/Л0456,",,,,,
,"(ООО ""Вояж"")",,,,кафе,,"25.09.2012 г., ",,,,,
186,"Общество с ограниченной ответственностью ""Верхневолжская продовольственная компания""",1.0276E+12,7610019615,"Ярославская область, г.Рыбинск, ул. 50 лет ВЛКСМ, дом 36, квартира 52.","1. Ярославская область, г.Рыбинск, ул. Желябова, д.8",с 31.12.2011 г. по 31.12.2014 г.,"76202711/Л0764,",,Предыдущее переоформление 07.09.2012 г.,,,
,"(ООО ""ВПК"")",,,,магазин,,"26.12.2011 г., ",,(4) - код 4,,,
,,,,,"2. Ярославская область, г.Рыбинск, ул. Рокоссовского, д.20",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, г. Рыбинск, ул.Моторостроителей, д. 21",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, г.Рыбинск, пр. Серова, д.17",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Рыбинский район, пос. Каменники, ул .Энергетиков, д.1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, г.Рыбинск, ул. Звездная, д.1а",,,,,,,
,,,,,магазин,,,,,,,
187,"Общество с ограниченной ответственностью ""Впрок+""",1.12761E+12,7606087210,"Российская Федерация, Ярославская область, город Ярославль, пр.Ленина, дом 17, кв.20","1. г.Ярославль, ул.Спартаковская, д.39",с 18.07.2012 г. по 18.07.2017 г.,"76202712/Л0361,",,,,,
,"(ООО ""Впрок+"")",,,,магазин,,"18.07.2012 г., ",,,,,
188,"Общество с ограниченной ответственностью ""Время""",1.0576E+12,7609018705,"Российская Федерация, Ярославская область, г.Ростов, 2 МКР, д. 10а","1. Ярославская область, Ростовский район, п. Ишня, ул.Мелиораторов, д.13",с 18.01.2011 г. по 18.01.2013 г.,"76202711/Л0009,",,,,,
,"(ООО ""Время"")",,,,магазин (отдел),,"18.01.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Ростов, 2 МКР, д.10а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, Ростовский район, с. Большая Шугорь, д.31",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"4. Ярославская область, Ростовский район, д. Коленово, ул. Заводская, д.66",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"5. Ярославская область, Ростовский район, с.Климатино, ул.Нагорная, д.12",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"6. Ярославская область, Ростовский район, Рп Поречье-Рыбное, ул.Булатова, д.3 ""б""",,,,,,,
,,,,,магазин (отдел),,,,,,,
189,"Общество с ограниченной ответственностью ""ВТ-Р""",1.10761E+12,7610087950,"Россия, Ярославская область, г.Рыбинск, ул. Максима Горького, д.63-а","1. Ярославская область, г.Рыбинск, ул. Максима Горького, д.63а",с 22.10.2011 г. по 22.10.2012 г.,"76202711/Л0631,",,,,,
,"(ООО ""ВТ-Р"")",,,,магазин,,"21.10.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Рыбинск, ул. Максима Горького, д.90",,,,,,,
