Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
1962,"ООО ""ПОЛЮС""",2420070325,27.03.12,27.03.13,9251-АР,109599,"663491, г.Кодинск, пер.Центральный, 20","Магазин г.Кодинск, пер.Центральный, 20 ()", , 
1963,"ООО ""Манское""",2424005662,26.03.12,26.03.17,9252-АР,109601,"663510, Манский район, с.Шалинское, ул.Советская, 51","магазин Манский район, с.Шалинское, ул.Ленина, 30 ()", , 
,,,,,,,,"магазин Манский район, с.Шалинское, ул.Советская, 51 ()",,
,,,,,,,,"Магазин Манский район, с.Шалинское, ул.Партизанская, 6 ()",,
1964,"ООО ""Адэль""",2465208848,28.03.12,15.01.15,9253-АР,109602,"660127, г. Красноярск, ул.9 Мая, 5,оф.2","Магазин г. Красноярск, ул.Ады Лебедевой, 64 Г, пом.2 ()", , 
,,,,,,,,"Павильон г. Красноярск, ул.Суворова, 128 А ()",,
1965,"МУП ""Магазин № 2""",2447003051,28.03.12,28.03.13,9254-АР,109603,"663180, г.Енисейск, ул.Бабкина, 8","Магазин г.Енисейск, ул.Бабкина, 8 ()", , 
1966,"ООО ""Ньюанс""",2463215060,26.03.12,26.03.13,9255-АР,109606,"660022, г. Красноярск, ул.Аэровокзальная, 13, офис 2-02","Магазин г. Красноярск, ул.Батурина, 30, пом. 92 ()", , 
1967,"ООО ""Саяны""",2463217082,21.03.12,21.03.14,9256-АР,109607,"660062, г. Красноярск, ул.Телевизорная, 5, стр.1, оф. 3","Магазин г. Красноярск, ул.Ладо Кецховели, 28, пом. 103 ()", , 
1968,"ООО ""Саян-Алко""",1901090643,30.03.12,12.10.15,9257-АР,109608,"655007, г.Абакан, ул.Кирпичная, 59","Магазин Шушенский район, пос.Шушенское, 2-ой микрорайон, 6 Б ()", , 
,,,,,,,,"Магазин г.Минусинск, ул.Тимирязева, 23 А ()",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, пер.Советский, 15 ()",,
,,,,,,,,"Магазин Новоселовский район, пос.Чулым, ул.Кравченко, 26 ()",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Ленина, 56 ()",,
,,,,,,,,"Магазин Новоселовский район, д.Кульчек, ул.Клубная, 8 ()",,
,,,,,,,,"Магазин Новоселовский район, пос.Толстый Мыс, ул.Степная, 1 Б ()",,
,,,,,,,,"Магазин Балахтинский район, с.Тюльково, ул.Молодежная, 17 А ()",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Октябрьская, 78 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Штабная, 9  В ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Ботаническая, 35, пом. 52 ()",,
,,,,,,,,"Магазин Минусинский район, пос.Прихолмье, ул.Зеленая, 21 Б ()",,
,,,,,,,,"Магазин Минусинский район, п. Притубинский, ул.Комсомольская, 14 ()",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Комсомольская, 28, стр. 1 ()",,
,,,,,,,,"Магазин Новоселовский район, с. Бараит, ул.Центральная, 20, пом. 1 ()",,
,,,,,,,,"Магазин Шушенский район, пос.Шушенское, ул.Пионерская, 19 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Октябрьская, 90, пом. 68 ()",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Красных Партизан, 20 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Кравченко, 26 А, пом. 3 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Гагарина, 19 А ()",,
,,,,,,,,"Магазин Ермаковский район, с.Нижний Суэтук, ул.Мира, 18 А ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Вокзальная, 18 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Комсомольская, 112 ()",,
,,,,,,,,"Магазин Шушенский район, с.Субботино, ул.Ленина, 45, пом. 1 ()",,
,,,,,,,,"Магазин Минусинский район, с.Жерлык, ул.Журавлева, 2 А ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Суворова, 37 А ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Канская, 14 ()",,
,,,,,,,,"Магазин Минусинский район, с.Лугавское, ул.Колобова, 2 Б ()",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Пушкина, 29-А ()",,
,,,,,,,,"Магазин Минусинский район, с. Малая Ничка, ул.Кретова, 41 ()",,
,,,,,,,,"Магазин Минусинский район, с. Большая Ничка, ул.Заречная, 5А ()",,
,,,,,,,,"Магазин Минусинский район, с. Восточное, ул.Ленина, зд.105 А ()",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Ярова, 40 ()",,
,,,,,,,,"Магазин Шушенский район, с.Иджа, ул.Большая, 37 ()",,
,,,,,,,,"Магазин Курагинский район, с. Мурино, ул.Мира, 4 ()",,
,,,,,,,,"Магазин Курагинский район, с. Мурино, ул.Ленина, 33 А ()",,
,,,,,,,,"Магазин Курагинский район, с.Бугуртак, ул.Партизанская, 21 ()",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, ул.Челябинская, 56 ()",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Крупской, 3, пом. 4 ()",,
,,,,,,,,"Магазин Ермаковский район, с.Ермаковское, ул.Октябрьская, 100 А, пом. 2 ()",,
,,,,,,,,"Магазин Минусинский район, с.Жерлык, ул.Солнечная, 14, пом. 1а ()",,
,,,,,,,,"Магазин Минусинский район, 432 км. автодороги М 54, ""Енисей"", вправо, 1 ()",,
,,,,,,,,"Магазин Курагинский район, с. Алексеевка, ул.Кооперативная, 36 ()",,
,,,,,,,,"Магазин Курагинский район, с.Шалаболино, ул.Советская, 17 ()",,
,,,,,,,,"Магазин Идринский район, с. Куреж, ул.Украинская, 47 А ()",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Ленина, 22 А ()",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, ул.Тютчева, 81 ()",,
,,,,,,,,"Магазин Минусинский район, с. Тесь, ул.Ленина, 11 Е ()",,
,,,,,,,,"Магазин Каратузский район, с.Моторское, ул.Ленина, 74 А ()",,
,,,,,,,,"Магазин Каратузский район, с.Каратузское, ул.Куйбышева, 11 Б ()",,
,,,,,,,,"Магазин Шушенский район, с. Ермолаево, ул.Центральная, 28 ()",,
,,,,,,,,"Магазин Минусинский район, п. Опытное поле, ул.Набережная, 11 ()",,
,,,,,,,,"Магазин Шушенский район, пос.Шушенское, ул.Крупской, 79 А, лит.Б1 ()",,
,,,,,,,,"Магазин Курагинский район, п.Курагино, пер.Советский, 44 А ()",,
,,,,,,,,"Магазин Идринский район, с.Идринское, ул.Титова, 26 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Кретова, 17, пом. 91 ()",,
,,,,,,,,"Магазин г.Минусинск, ул.Советская, 27 В ()",,
