На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ракитное, ул Комсомольская д.16",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.31",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Малиново, ул Транспортная д.4",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Орехово, ул Черниговская д.12",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Пожига, ул Лесная д.4",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ясная Поляна, ул Центральная д.36",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Малиново, ул 50 лет Октября д.39",Магазин,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Любитовка, ул Партизанская д.66",Отдел в магазине,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Пожига, ул Школьная д.22",Отдел в магазине,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Малиново, ул Транспортная д.4",закусочная,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Меркурий-С""",2506109119,"Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.54","Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.37",закусочная,ПК0060200/3613,25.05.2012,03.06.2013
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, Дальнереченский р-н, с Рождественка, ул Пионерская д.31",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, Дальнереченский р-н, с Сальское, ул Зеленая д.22а",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, Дальнереченский р-н, с Ракитное, ул Партизанская д.36",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, Дальнереченский р-н, с Малиново, ул 50 лет Октября д.31",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Партнер""",2506108764,"Приморский край, г Дальнереченск, ул Фадеева д.46","Приморский край, Дальнереченский р-н, с Веденка, ул Малая Веденка д.4",Отдел в магазине,ПК0060562/3975,07.08.2012,02.04.2017
"ООО ""Стимул""",2506009386,"Приморский край, г Дальнереченск, ул Победы д.14a","Приморский край, Дальнереченский р-н, с Малая Веденка д.99",Магазин,ПК0059259/2672,25.07.2011,01.08.2016
